"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2016-07-08 11:00:00,69831,63241.0632042704,64783.6714691095,65302.2919708771,65973.7879648223,66450.0265003253,66565.9913262957,66911.3966843598,67098.9804521241,67296.7904951932,67376.3642393048,67453.9521345141,67473.8074572196,67557.6643609173,67606.6356481553,67655.8327229191,67702.1818722537,67762.1792374848,67790.8139718279,67818.9124904085,67830.2623085389,67902.1992697153,67947.1435504605,68056.4091783892,68114.6602542834,68162.9771343289,68261.8157131872,68290.1926399147,68385.0195029858,68412.7464388126,68428.1297016202,68457.1867842299,68518.4606737224,68549.7667859085,68572.6429259628,68586.2925139422,68611.6092932253,68683.9890545657,68751.1407193789,68812.7887329991,68866.7445231309,69018.0945761721,69031.4372494953,69070.8726366189,69100.0291413229,69132.1239664279,69163.6718390323,69200.7570053558,69241.407692344,69260.799530222,69316.3104437302,69359.1301978383,69410.807222801,69440.6045049386,69445.0730761559,69464.6333841392,69492.3266268992,69533.2444131578,69570.0687665577,69595.1823717754,69660.2374617704,69714.1296375974,69813.4648312494,69825.7667137834,69850.5437680598,69868.8781417671,69971.2453519353,70000.6808235863,70055.7998271258,70122.6400620933,70214.0865193477,70263.1018064153,70284.7814000811,70368.1055186893,70418.3647529567,70505.9221073314,70605.594671005,70731.1516938486,70866.5819993059,70911.8565784652,70938.6939602491,70992.3659908121,71040.535933854,71269.5712796438,71310.8404318525,71713.9847089345,71860.5681973677,72199.3352286546,72442.204018864,73629.4160260203,75218.6656206654
2016-07-09 11:00:00,57518.25,53780.1884113347,55322.7966761738,55841.4171779414,56512.9131718866,56989.1517073896,57105.11653336,57450.5218914241,57638.1056591884,57835.9157022575,57915.4894463691,57993.0773415784,58012.9326642839,58096.7895679816,58145.7608552196,58194.9579299834,58241.307079318,58301.3044445491,58329.9391788922,58358.0376974728,58369.3875156032,58441.3244767796,58486.2687575248,58595.5343854535,58653.7854613478,58702.1023413932,58800.9409202515,58829.317846979,58924.1447100501,58951.8716458769,58967.2549086845,58996.3119912942,59057.5858807867,59088.8919929728,59111.7681330271,59125.4177210065,59150.7345002896,59223.11426163,59290.2659264432,59351.9139400634,59405.8697301952,59557.2197832364,59570.5624565596,59609.9978436832,59639.1543483872,59671.2491734922,59702.7970460966,59739.8822124201,59780.5328994083,59799.9247372863,59855.4356507945,59898.2554049026,59949.9324298653,59979.7297120029,59984.1982832202,60003.7585912035,60031.4518339635,60072.3696202221,60109.193973622,60134.3075788397,60199.3626688347,60253.2548446617,60352.5900383137,60364.8919208477,60375.5283948479,60395.443181402,60446.4314091533,60519.1490810823,60575.8219246733,60648.6507888707,60698.5448672046,60793.504083353,60821.5639402919,60845.6977098449,60937.3287528749,61000.5957080495,61099.9500308277,61223.8800410443,61297.9418583289,61428.5820187048,61477.8191673134,61531.4911978764,61579.6611409183,61808.6964867081,61849.9656389168,62253.1099159988,62399.693404432,62738.4604357189,62981.3292259283,64168.5412330846,65757.7908277297
2016-07-10 11:00:00,51765.75,48172.9548540077,49715.5631188468,50234.1836206144,50905.6796145596,51381.9181500626,51497.882976033,51843.2883340971,51914.0546795477,52164.780194316,52276.8576936885,52370.201510893,52393.9069665176,52437.7507138132,52511.3263562293,52559.69169293,52625.8859498936,52637.6240548131,52710.0439223991,52733.9345998117,52760.4978751275,52774.6954244047,52865.9299555747,52933.3614576596,53031.0950331468,53062.4714666993,53144.3623342944,53211.3192127624,53281.0525403766,53327.5767106708,53353.2560843353,53366.2471823274,53416.1900611298,53471.1114521276,53491.5219311532,53514.4137884121,53531.4228625946,53556.7807915561,53657.1328357723,53715.0854383794,53777.9274437591,53883.4605435826,53950.5842903732,53986.5616564519,54019.1609368307,54046.9218271168,54070.8460588689,54119.4877270752,54157.6388089616,54174.5107106045,54225.2828402743,54261.1926689687,54329.9056052123,54359.902216942,54374.4205647552,54386.071292796,54402.9642263413,54449.6648132089,54484.6998121265,54511.1411965102,54558.4921646652,54602.7444650473,54731.8783869579,54751.6893626852,54762.2211808106,54782.3860465361,54800.5380971389,54903.047088724,54932.0426107042,54986.9271199268,55054.1850088589,55145.4157937268,55194.7216891775,55216.5580229035,55299.6223991245,55349.7720072467,55492.7164735007,55616.6464837173,55690.7083010019,55821.3484613778,55870.5856099864,55924.2576405494,55972.4275835913,56201.4629293812,56242.7320815898,56645.8763586718,56792.459847105,57131.2268783919,57374.0956686013,58561.3076757576,60150.5572704027
2016-07-11 11:00:00,71612,62736.1452616469,64278.753526486,64797.3740282536,65468.8700221988,65945.1085577018,66061.0733836722,66317.3324652787,66469.9262956006,66592.6585988957,66791.2574620459,66871.1236543275,66948.9395870957,66968.7537496962,67052.1472530096,67101.3974600011,67150.589248908,67197.2494211494,67256.508801646,67285.7333246951,67313.7906702272,67325.3441317008,67396.4865490847,67442.1056770402,67550.9404013684,67609.6726725387,67657.6500968128,67756.3802542951,67785.1338912863,67879.9215576167,67907.5957525685,67923.1159169207,67951.917172865,68013.1127234,68044.7356560294,68067.5608226768,68081.3552091508,68106.6212356957,68178.1131441969,68245.8126674919,68307.5391892906,68361.7329394324,68513.1758110365,68526.2690846759,68565.8545989603,68595.0805783579,68627.1247875332,68658.2767393409,68695.5878978494,68736.4678440882,68755.4531608965,68811.1784905266,68853.5395209816,68905.7176344083,68935.6589666638,68940.1045896524,68959.6956970536,68987.0461455608,69028.1250920891,69065.0583908562,69089.9866065343,69155.1726421131,69207.891319367,69308.4738980247,69320.780835236,69331.2851270941,69351.2994761153,69401.4535424029,69474.9874202497,69531.7563793975,69604.5281172277,69653.8894749927,69749.4146295719,69777.5186078893,69800.904051,69893.1244344771,69965.8657311243,70099.7416909305,70226.1007785099,70365.0380350352,70433.7760176256,70487.4480481886,70535.6179912305,70764.6533370204,70805.922489229,71209.066766311,71355.6502547443,71694.4172860311,71937.2860762405,73124.4980833968,74713.7476780419
2016-07-12 11:00:00,69969.5,65985.8684880044,67528.4767528435,68047.0972546111,68718.5932485563,69194.8317840593,69310.7966100297,69567.0556916362,69719.6495219581,69842.3818252532,70040.9806884034,70120.846880685,70198.6628134532,70218.4769760537,70301.8704793671,70351.1206863586,70400.3124752655,70446.9726475069,70506.2320280035,70535.4565510526,70563.5138965847,70575.0673580583,70646.2097754422,70691.8289033977,70800.6636277259,70859.3958988962,70907.3733231703,71006.1034806526,71034.8571176438,71129.6447839742,71157.318978926,71172.8391432782,71201.6403992225,71262.8359497575,71294.4588823869,71317.2840490342,71331.0784355083,71356.3444620532,71427.8363705544,71495.5358938494,71557.2624156481,71611.4561657899,71762.899037394,71775.9923110334,71815.5778253178,71844.8038047154,71876.8480138907,71907.9999656984,71945.3111242069,71986.1910704457,72005.176387254,72060.9017168841,72103.2627473391,72155.4408607658,72185.3821930213,72189.8278160099,72209.4189234111,72236.7693719183,72277.8483184466,72314.7816172137,72339.7098328918,72404.8958684706,72457.6145457245,72558.1971243822,72570.5040615935,72581.0083534516,72601.0227024728,72651.1767687604,72724.7106466072,72781.479605755,72854.2513435852,72903.6127013502,72999.1378559294,73027.2418342468,73050.6272773575,73142.8476608346,73215.5889574818,73349.464917288,73475.8240048674,73614.7612613927,73683.4992439831,73737.1712745461,73785.341217588,74014.3765633779,74055.6457155865,74458.7899926685,74605.3734811017,74865.1928709639,75024.108000543,76339.283472369,76670.5611578279
2016-07-13 11:00:00,69064.5,64237.9814484677,65780.5897133069,66299.2102150745,66970.7062090197,67446.9447445227,67562.9095704931,67819.1686520996,67971.7624824215,68094.4947857166,68240.8912773227,68341.3578716789,68434.4941153742,68458.8446681989,68502.3872771443,68576.1713767039,68624.4988011058,68690.4688296014,68702.6058060688,68775.0269463042,68798.8459123679,68825.442496892,68839.5429219814,68930.7370036873,68997.6279377089,69100.2681825381,69159.4862836337,69258.216441116,69286.9700781072,69381.7577444376,69409.4319393894,69424.9521037416,69453.7533596859,69514.9489102209,69546.5718428503,69569.3970094976,69583.1913959717,69608.4574225166,69679.9493310178,69747.6488543128,69809.3753761114,69863.5691262533,70015.0119978574,70028.1052714968,70067.6907857812,70096.9167651788,70128.9609743541,70160.1129261618,70197.4240846703,70238.3040309091,70257.2893477174,70313.0146773475,70355.3757078025,70407.5538212292,70437.4951534847,70441.9407764733,70461.5318838745,70488.8823323817,70529.96127891,70566.894577677,70591.8227933552,70657.008828934,70709.7275061879,70810.3100848456,70822.6170220568,70833.121313915,70853.1356629362,70903.2897292238,70976.8236070706,71033.5925662184,71106.3643040486,71155.7256618136,71251.2508163927,71279.3547947101,71302.7402378209,71394.960621298,71467.7019179452,71601.5778777514,71727.9369653308,71866.8742218561,71935.6122044465,71989.2842350095,72037.4541780514,72266.4895238412,72307.7586760499,72710.9029531319,72857.4864415651,73117.3058314273,73276.2209610063,74591.3964328324,74922.6741182913
2016-07-14 11:00:00,69773.75,64023.6536656211,65566.2619304602,66084.8824322278,66756.378426173,67232.616961676,67348.5817876464,67604.8408692528,67757.4346995748,67880.1670028699,68026.563494476,68127.0300888323,68220.1663325275,68244.5168853522,68288.0594942976,68361.8435938572,68410.1710182591,68476.1410467547,68488.2780232221,68560.6991634575,68584.5181295212,68611.1147140453,68625.2151391347,68716.4092208407,68783.3001548622,68851.2576732619,68912.9543961343,68994.457050863,69061.9530802062,69130.8756934409,69178.1847887185,69203.9242659358,69216.8901511292,69266.6141287401,69321.6895933564,69342.1132284496,69365.0358544865,69381.8932919709,69407.2804233181,69507.7220752179,69565.4675400457,69628.2279295155,69732.5377806418,69801.2715848137,69836.9953967113,69869.6024598491,69897.3238182729,69921.4743191378,69970.1416520254,70008.0309832639,70025.2057151185,70075.6987554995,70111.8342294197,70180.487126781,70210.38319265,70225.1068941913,70236.5929600377,70253.5100880391,70300.2123198653,70335.1536183503,70361.7206436959,70408.7062469653,70453.3831856102,70582.3939507229,70602.3236219976,70612.909516347,70633.0354868884,70651.0052143868,70753.6559873888,70782.2115596982,70836.8615746039,70904.5371175007,70995.5522299819,71045.1487338158,71067.141807602,71180.6328384513,71253.3741350985,71387.2500949047,71513.6091824841,71652.5464390094,71721.2844215998,71774.9564521628,71823.1263952047,72052.1617409945,72093.4308932032,72496.5751702852,72643.1586587184,72902.9780485806,73061.8931781596,74377.0686499857,74708.3463354446
2016-07-15 11:00:00,69397,63229.8466198531,64772.4548846922,65291.0753864598,65962.571380405,66438.809915908,66554.7747418784,66811.0338234848,66963.6276538068,67086.3599571019,67232.756448708,67333.2230430643,67426.3592867595,67450.7098395842,67494.2524485296,67568.0365480892,67616.3639724911,67682.3340009867,67694.4709774541,67766.8921176895,67790.7110837532,67817.3076682773,67831.4080933667,67922.6021750727,67989.4931090942,68057.4506274939,68119.1473503663,68200.650005095,68268.1460344382,68337.0686476729,68384.3777429505,68410.1172201678,68423.0831053612,68472.8070829721,68527.8825475884,68548.3061826816,68571.2288087185,68588.0862462029,68613.4733775501,68713.9150294499,68771.6604942777,68834.4208837475,68924.2493976864,69006.8763467306,69019.7202206861,69059.4558621314,69088.7513162227,69120.7449094683,69151.5009404792,69189.0380911728,69230.1472966621,69248.7260924006,69304.6658381526,69346.5681449547,69399.2473468453,69429.7820876031,69442.7859142697,69459.7030422711,69506.4052740973,69541.3465725823,69567.9135979279,69614.8992011973,69659.5761398422,69788.5869049549,69808.5165762296,69819.102470579,69839.2284411204,69857.1981686188,69959.8489416208,69988.4045139302,70043.0545288359,70110.7300717327,70201.7451842139,70251.3416880478,70273.334761834,70386.8257926833,70459.5670893305,70593.4430491367,70719.8021367161,70858.7393932414,70927.4773758318,70981.1494063948,71029.3193494367,71258.3546952265,71299.6238474352,71702.7681245172,71849.3516129504,72109.1710028126,72268.0861323916,73583.2616042177,73914.5392896766
2016-07-16 11:00:00,57093.25,53394.9969537305,54937.6052185696,55456.2257203372,56127.7217142824,56603.9602497854,56719.9250757558,56976.1841573623,57128.7779876842,57251.5102909793,57397.9067825854,57498.3733769417,57591.5096206369,57615.8601734617,57659.4027824071,57733.1868819666,57781.5143063685,57847.4843348641,57859.6213113315,57932.0424515669,57955.8614176306,57982.4580021547,57996.5584272441,58087.7525089501,58154.6434429716,58222.6009613713,58284.2976842437,58365.8003389724,58433.2963683156,58502.2189815503,58549.5280768279,58575.2675540452,58588.2334392386,58637.9574168495,58693.0328814658,58713.456516559,58736.3791425959,58753.2365800803,58778.6237114275,58879.0653633273,58936.8108281551,58999.5712176249,59089.3997315638,59172.026680608,59184.8705545635,59224.6061960088,59253.9016501001,59285.8952433457,59316.6512743566,59354.1884250502,59395.2976305395,59413.876426278,59469.81617203,59511.7184788321,59559.7152622594,59581.508644854,59598.905737856,59618.527644675,59645.5352989295,59686.7754057275,59723.8176498617,59748.5604760002,59813.877457163,59865.4226358437,59967.2525995072,59979.5645913956,59989.9367011116,60010.0506126,60059.3705174239,60133.7206011885,60190.5856758931,60263.300287356,60312.1289245522,60408.2200175621,60436.368117258,60465.0015427596,60571.3297115221,60714.3540431514,60838.1102036757,60911.4099346985,61070.1337812468,61106.8159369335,61183.5120433622,61300.4869294717,61464.7741813126,61867.9184583946,62014.5019468278,62274.3213366901,62433.2364662691,63748.4119380951,64079.689623554
2016-07-17 11:00:00,51650.25,48484.7604993029,50027.368764142,50545.9892659096,51217.4852598548,51693.7237953578,51809.6886213282,52065.9477029347,52182.2326429396,52225.8237195793,52455.8114641223,52539.2576091781,52619.4162496297,52697.4602199568,52717.2332224523,52800.1633253815,52849.6924521264,52898.8789551763,52945.8501503246,53004.3715460867,53034.1858578419,53062.2020303254,53073.9591351422,53144.3070087336,53190.6009838994,53297.9193485184,53346.5279671791,53405.8562395762,53504.4779756824,53533.6083229374,53628.3567925272,53655.978246604,53671.6353125008,53700.1807417797,53761.2979533572,53793.2377064297,53816.0118996701,53829.9510846389,53855.1663584457,53925.7704141076,53994.0177958844,54055.8228258615,54110.2545360133,54249.0426333756,54262.3669013227,54297.8371590391,54330.4520049359,54358.1338314975,54382.5106014752,54431.2035990439,54468.8311796347,54486.308741701,54536.5226927932,54572.8838119391,54641.476670418,54656.4697460627,54684.6558892243,54697.5226493479,54714.4639718052,54761.1678485901,54796.0154466426,54822.7081129499,54869.3283513339,54914.4299282415,55043.3175365564,55063.3659033783,55074.0058739518,55094.0929493092,55111.8803537031,55214.672908122,55242.7885307606,55298.7944904542,55401.8924701246,55497.9835631345,55526.1316628304,55554.765088332,55661.0932570945,55804.1175887238,55927.8737492481,56001.1734802709,56159.8973268192,56196.5794825059,56273.2755889346,56390.2504750441,56554.537726885,56957.682003967,57104.2654924002,57364.0848822624,57523.0000118414,58838.1754836675,59169.4531691264
